#{"t_start": 1707951265.1999075, "env_id": "None"}
r,l,t
-43.00967,490,1777.176893
-43.00967,490,1777.176904
-43.00967,490,1777.176915
-43.00967,490,1777.176925
-43.00967,490,1777.176938
-43.00967,490,1777.176949
-43.00967,490,1777.176959
-43.00967,490,1777.17697
-43.00967,490,1777.17698
-43.00967,490,1777.176992
-43.00967,490,1777.177002
-43.00967,490,1777.177013
-43.00967,490,1777.177024
-43.00967,490,1777.177035
-43.00967,490,1777.177045
-43.00967,490,1777.177056
-43.00967,490,1777.177073
-43.00967,490,1777.177085
-43.00967,490,1777.177097
-43.00967,490,1777.177108
-43.00967,490,1777.177119
-43.00967,490,1777.177129
-43.00967,490,1777.17714
-43.00967,490,1777.17715
-43.00967,490,1777.177161
-43.00967,490,1777.177172
-43.00967,490,1777.177183
-43.00967,490,1777.177193
-43.00967,490,1777.177205
-43.00967,490,1777.177215
-43.00967,490,1777.177226
-43.00967,490,1777.177237
-43.00967,490,1777.177247
-43.00967,490,1777.177258
-43.00967,490,1777.177268
-43.00967,490,1777.177279
-43.00967,490,1777.177289
-43.00967,490,1777.1773
-43.00967,490,1777.177311
-43.00967,490,1777.177321
-43.00967,490,1777.177331
-43.00967,490,1777.177342
-43.00967,490,1777.177353
-43.00967,490,1777.177366
-43.00967,490,1777.177377
-43.00967,490,1777.177387
-43.00967,490,1777.177397
-43.00967,490,1777.177408
-43.00967,490,1777.177419
-43.00967,490,1777.177429
-43.00967,490,1777.177439
-43.00967,490,1777.17745
-43.00967,490,1777.17746
-43.00967,490,1777.177471
-43.00967,490,1777.177481
-43.00967,490,1925.918148
-43.00967,490,1925.918243
-43.00967,490,1925.91826
-43.00967,490,1925.918273
-43.00967,490,1925.918285
-43.00967,490,1925.918315
-43.00967,490,1925.918329
-43.00967,490,1925.91834
-43.00967,490,1925.918352
-43.00967,490,1925.918362
-43.00967,490,1925.918374
-43.00967,490,1925.918387
-43.00967,490,1925.918398
-43.00967,490,1925.91841
-43.00967,490,1925.918422
-43.00967,490,1925.918432
-43.00967,490,1925.918443
-43.00967,490,1925.918454
-43.00967,490,1925.918466
-43.00967,490,1925.918477
-43.00967,490,1925.918488
-43.00967,490,1925.918499
-43.00967,490,1925.91851
-43.00967,490,1925.918521
-43.00967,490,1925.918533
-43.00967,490,1925.918543
-43.00967,490,1925.918554
-43.00967,490,1925.918564
